"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL1277792";"";"";"Small molecule";"";"409.88";"2";"2";"2.96";"80.24";"6";"1";"0";"5";"N";"0.70";"12.74";"5.47";"2.03";"2.03";"3";"MOL";"-1";"29";"7";"1";"0";"409.1306";"-1.73";"NEUTRAL";"C21H20ClN5O2";"O=C(NCc1ccncc1N1CCOCC1)c1cncc(-c2ccc(Cl)cc2)n1";"XODADHNSUQUULV-UHFFFAOYSA-N";"InChI=1S/C21H20ClN5O2/c22-17-3-1-15(2-4-17)18-12-24-13-19(26-18)21(28)25-11-16-5-6-23-14-20(16)27-7-9-29-10-8-27/h1-6,12-14H,7-11H2,(H,25,28)";"False";"-1"
"CHEMBL400355";"";"";"Small molecule";"";"336.78";"1";"1";"5.33";"58.03";"2";"2";"1";"3";"N";"0.53";"13.87";"None";"4.40";"4.40";"4";"MOL";"-1";"24";"4";"2";"1";"336.0666";"-1.49";"NEUTRAL";"C19H13ClN2O2";"O=C(Nc1ccc2cc[nH]c2c1)c1ccc(-c2ccc(Cl)cc2)o1";"OVESJEVEMVKRJZ-UHFFFAOYSA-N";"InChI=1S/C19H13ClN2O2/c20-14-4-1-13(2-5-14)17-7-8-18(24-17)19(23)22-15-6-3-12-9-10-21-16(12)11-15/h1-11,21H,(H,22,23)";"False";"-1"
"CHEMBL4464990";"";"";"Unknown";"";"537.54";"14";"56";"4.65";"97.31";"7";"1";"1";"5";"N";"0.47";"5.44";"6.07";"2.59";"2.32";"3";"MOL";"-1";"37";"8";"1";"1";"537.1458";"-1.24";"ACID";"C24H23F4N5O3S";"O=S(=O)(Nc1ccncn1)c1cc2c(cc1F)[C@@H](N1CC[C@H](C(F)(F)F)C[C@@H]1c1ccccn1)CCO2";"XQUOWYVEKSXNET-RYGJVYDSSA-N";"InChI=1S/C24H23F4N5O3S/c25-17-12-16-19(33-9-5-15(24(26,27)28)11-20(33)18-3-1-2-7-30-18)6-10-36-21(16)13-22(17)37(34,35)32-23-4-8-29-14-31-23/h1-4,7-8,12-15,19-20H,5-6,9-11H2,(H,29,31,32)/t15-,19-,20+/m0/s1";"False";"-1"
"CHEMBL1276881";"";"";"Small molecule";"";"408.77";"5";"5";"4.02";"77.00";"5";"1";"0";"5";"N";"0.65";"13.75";"0.92";"3.79";"3.79";"3";"MOL";"-1";"28";"6";"1";"0";"408.0601";"-1.61";"NEUTRAL";"C18H12ClF3N4O2";"O=C(NCc1cccnc1Cl)c1cncc(-c2ccc(OC(F)(F)F)cc2)n1";"RJLVNBBRFOUABG-UHFFFAOYSA-N";"InChI=1S/C18H12ClF3N4O2/c19-16-12(2-1-7-24-16)8-25-17(27)15-10-23-9-14(26-15)11-3-5-13(6-4-11)28-18(20,21)22/h1-7,9-10H,8H2,(H,25,27)";"False";"-1"
"CHEMBL254384";"";"";"Small molecule";"";"311.77";"1";"1";"5.16";"42.24";"2";"1";"1";"3";"N";"0.73";"None";"None";"4.89";"4.89";"3";"MOL";"-1";"22";"3";"1";"1";"311.0713";"-1.31";"NEUTRAL";"C18H14ClNO2";"Cc1cccc(NC(=O)c2coc(-c3ccc(Cl)cc3)c2)c1";"IIFLBSPFMNFHBT-UHFFFAOYSA-N";"InChI=1S/C18H14ClNO2/c1-12-3-2-4-16(9-12)20-18(21)14-10-17(22-11-14)13-5-7-15(19)8-6-13/h2-11H,1H3,(H,20,21)";"False";"-1"
"CHEMBL250443";"";"";"Small molecule";"";"361.32";"8";"17";"5.41";"51.47";"3";"1";"1";"4";"N";"0.68";"None";"None";"5.64";"5.64";"3";"MOL";"-1";"26";"4";"1";"1";"361.0926";"-1.66";"NEUTRAL";"C19H14F3NO3";"Cc1cccc(NC(=O)c2ccc(-c3ccc(OC(F)(F)F)cc3)o2)c1";"CNFVTGOGEPWRJO-UHFFFAOYSA-N";"InChI=1S/C19H14F3NO3/c1-12-3-2-4-14(11-12)23-18(24)17-10-9-16(25-17)13-5-7-15(8-6-13)26-19(20,21)22/h2-11H,1H3,(H,23,24)";"False";"-1"
"CHEMBL1271308";"";"";"Small molecule";"";"386.37";"4";"5";"5.52";"51.22";"3";"1";"1";"4";"N";"0.64";"None";"1.71";"6.34";"6.34";"3";"MOL";"-1";"28";"4";"1";"1";"386.1242";"-1.49";"NEUTRAL";"C21H17F3N2O2";"Cc1cc(C)cc(NC(=O)c2ccnc(-c3ccc(OC(F)(F)F)cc3)c2)c1";"XNTXVPMZYCOUIA-UHFFFAOYSA-N";"InChI=1S/C21H17F3N2O2/c1-13-9-14(2)11-17(10-13)26-20(27)16-7-8-25-19(12-16)15-3-5-18(6-4-15)28-21(22,23)24/h3-12H,1-2H3,(H,26,27)";"False";"-1"
"CHEMBL1270100";"";"";"Small molecule";"";"358.23";"4";"4";"4.38";"54.88";"3";"1";"0";"4";"N";"0.70";"13.86";"3.24";"3.41";"3.41";"3";"MOL";"-1";"24";"4";"1";"0";"357.0436";"-1.63";"NEUTRAL";"C18H13Cl2N3O";"O=C(NCc1cccnc1Cl)c1cncc(-c2ccc(Cl)cc2)c1";"JJLXCDLYMWHMIF-UHFFFAOYSA-N";"InChI=1S/C18H13Cl2N3O/c19-16-5-3-12(4-6-16)14-8-15(10-21-9-14)18(24)23-11-13-2-1-7-22-17(13)20/h1-10H,11H2,(H,23,24)";"False";"-1"
"CHEMBL400960";"";"";"Small molecule";"";"291.73";"1";"2";"3.07";"42.68";"3";"0";"0";"2";"N";"0.85";"None";"None";"2.28";"2.28";"2";"MOL";"-1";"20";"4";"0";"0";"291.0662";"-1.73";"NEUTRAL";"C15H14ClNO3";"O=C(c1ccc(-c2ccc(Cl)cc2)o1)N1CCOCC1";"HNHRDYWSUVNYTP-UHFFFAOYSA-N";"InChI=1S/C15H14ClNO3/c16-12-3-1-11(2-4-12)13-5-6-14(20-13)15(18)17-7-9-19-10-8-17/h1-6H,7-10H2";"False";"-1"
"CHEMBL1271206";"";"";"Small molecule";"";"386.37";"4";"5";"5.52";"51.22";"3";"1";"1";"4";"N";"0.64";"None";"3.14";"5.95";"5.95";"3";"MOL";"-1";"28";"4";"1";"1";"386.1242";"-1.45";"NEUTRAL";"C21H17F3N2O2";"Cc1cc(C)cc(NC(=O)c2cncc(-c3ccc(OC(F)(F)F)cc3)c2)c1";"QLGKRCSGYMDFCH-UHFFFAOYSA-N";"InChI=1S/C21H17F3N2O2/c1-13-7-14(2)9-18(8-13)26-20(27)17-10-16(11-25-12-17)15-3-5-19(6-4-15)28-21(22,23)24/h3-12H,1-2H3,(H,26,27)";"False";"-1"
"CHEMBL1277608";"";"";"Small molecule";"";"310.74";"1";"1";"3.44";"67.77";"4";"1";"0";"3";"N";"0.80";"None";"4.36";"2.44";"2.43";"3";"MOL";"-1";"22";"5";"1";"0";"310.0621";"-1.89";"NEUTRAL";"C16H11ClN4O";"O=C(Nc1cccnc1)c1cncc(-c2ccc(Cl)cc2)n1";"JJSHHDVJICWJAP-UHFFFAOYSA-N";"InChI=1S/C16H11ClN4O/c17-12-5-3-11(4-6-12)14-9-19-10-15(21-14)16(22)20-13-2-1-7-18-8-13/h1-10H,(H,20,22)";"False";"-1"
"CHEMBL1277699";"";"";"Small molecule";"";"324.77";"2";"2";"3.12";"67.77";"4";"1";"0";"4";"N";"0.80";"13.80";"4.82";"2.14";"2.14";"3";"MOL";"-1";"23";"5";"1";"0";"324.0778";"-1.74";"NEUTRAL";"C17H13ClN4O";"O=C(NCc1cccnc1)c1cncc(-c2ccc(Cl)cc2)n1";"RTLCJBCGHVLAIU-UHFFFAOYSA-N";"InChI=1S/C17H13ClN4O/c18-14-5-3-13(4-6-14)15-10-20-11-16(22-15)17(23)21-9-12-2-1-7-19-8-12/h1-8,10-11H,9H2,(H,21,23)";"False";"-1"
"CHEMBL1271415";"";"";"Small molecule";"";"320.37";"4";"5";"4.76";"41.99";"2";"1";"0";"3";"N";"0.76";"None";"3.14";"4.66";"4.66";"3";"MOL";"-1";"24";"3";"1";"0";"320.1325";"-1.66";"NEUTRAL";"C20H17FN2O";"Cc1cc(C)cc(NC(=O)c2cncc(-c3ccc(F)cc3)c2)c1";"XJXXETPSJSPVGG-UHFFFAOYSA-N";"InChI=1S/C20H17FN2O/c1-13-7-14(2)9-19(8-13)23-20(24)17-10-16(11-22-12-17)15-3-5-18(21)6-4-15/h3-12H,1-2H3,(H,23,24)";"False";"-1"
"CHEMBL1271416";"";"";"Small molecule";"";"336.82";"4";"5";"5.27";"41.99";"2";"1";"1";"3";"N";"0.71";"None";"3.13";"5.13";"5.13";"3";"MOL";"-1";"24";"3";"1";"1";"336.1029";"-1.57";"NEUTRAL";"C20H17ClN2O";"Cc1cc(C)cc(NC(=O)c2cncc(-c3ccc(Cl)cc3)c2)c1";"RWENXESMVVFVNT-UHFFFAOYSA-N";"InChI=1S/C20H17ClN2O/c1-13-7-14(2)9-19(8-13)23-20(24)17-10-16(11-22-12-17)15-3-5-18(21)6-4-15/h3-12H,1-2H3,(H,23,24)";"False";"-1"
"CHEMBL1271105";"";"";"Small molecule";"";"393.39";"5";"7";"4.97";"64.11";"5";"1";"0";"4";"N";"0.68";"13.44";"None";"6.57";"6.57";"3";"MOL";"-1";"27";"5";"1";"0";"393.0759";"-1.59";"NEUTRAL";"C18H14F3N3O2S";"Cc1cc(C)cc(NC(=O)c2nsc(-c3ccc(OC(F)(F)F)cc3)n2)c1";"VSNJWSYUSIWFGS-UHFFFAOYSA-N";"InChI=1S/C18H14F3N3O2S/c1-10-7-11(2)9-13(8-10)22-16(25)15-23-17(27-24-15)12-3-5-14(6-4-12)26-18(19,20)21/h3-9H,1-2H3,(H,22,25)";"False";"-1"
"CHEMBL429663";"";"";"Small molecule";"";"311.77";"9";"21";"5.16";"42.24";"2";"1";"1";"3";"N";"0.73";"None";"None";"4.81";"4.81";"3";"MOL";"-1";"22";"3";"1";"1";"311.0713";"-1.83";"NEUTRAL";"C18H14ClNO2";"Cc1cccc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)c1";"DJDFKPIUUFKRNI-UHFFFAOYSA-N";"InChI=1S/C18H14ClNO2/c1-12-3-2-4-15(11-12)20-18(21)17-10-9-16(22-17)13-5-7-14(19)8-6-13/h2-11H,1H3,(H,20,21)";"False";"-1"
"CHEMBL1277514";"";"";"Small molecule";"";"337.81";"7";"8";"4.67";"54.88";"3";"1";"0";"3";"N";"0.76";"None";"None";"4.68";"4.68";"3";"MOL";"-1";"24";"4";"1";"0";"337.0982";"-1.66";"NEUTRAL";"C19H16ClN3O";"Cc1cc(C)cc(NC(=O)c2cncc(-c3ccc(Cl)cc3)n2)c1";"QFMYRESYPSSSRX-UHFFFAOYSA-N";"InChI=1S/C19H16ClN3O/c1-12-7-13(2)9-16(8-12)22-19(24)18-11-21-10-17(23-18)14-3-5-15(20)6-4-14/h3-11H,1-2H3,(H,22,24)";"False";"-1"
"CHEMBL1271106";"";"";"Small molecule";"";"387.36";"6";"10";"4.91";"64.11";"4";"1";"0";"4";"N";"0.69";"None";"None";"5.51";"5.51";"3";"MOL";"-1";"28";"5";"1";"0";"387.1195";"-1.53";"NEUTRAL";"C20H16F3N3O2";"Cc1cc(C)cc(NC(=O)c2cncc(-c3ccc(OC(F)(F)F)cc3)n2)c1";"ZAXMOONEIUJTOM-UHFFFAOYSA-N";"InChI=1S/C20H16F3N3O2/c1-12-7-13(2)9-15(8-12)25-19(27)18-11-24-10-17(26-18)14-3-5-16(6-4-14)28-20(21,22)23/h3-11H,1-2H3,(H,25,27)";"False";"-1"
"CHEMBL254382";"";"";"Small molecule";"";"302.33";"1";"1";"4.38";"66.03";"3";"1";"0";"3";"N";"0.78";"None";"None";"4.06";"4.06";"3";"MOL";"-1";"23";"4";"1";"0";"302.1055";"-2.00";"NEUTRAL";"C19H14N2O2";"Cc1cccc(NC(=O)c2ccc(-c3cccc(C#N)c3)o2)c1";"TZPWIPWITVWYPT-UHFFFAOYSA-N";"InChI=1S/C19H14N2O2/c1-13-4-2-7-16(10-13)21-19(22)18-9-8-17(23-18)15-6-3-5-14(11-15)12-20/h2-11H,1H3,(H,21,22)";"False";"-1"
"CHEMBL487308";"";"";"Small molecule";"";"318.80";"2";"2";"3.42";"45.48";"3";"1";"0";"3";"N";"0.94";"None";"8.46";"2.31";"1.21";"2";"MOL";"-1";"22";"4";"1";"0";"318.1135";"-1.46";"NEUTRAL";"C17H19ClN2O2";"CN1CCC(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)CC1";"PAMVKPQNNLSWGJ-UHFFFAOYSA-N";"InChI=1S/C17H19ClN2O2/c1-20-10-8-14(9-11-20)19-17(21)16-7-6-15(22-16)12-2-4-13(18)5-3-12/h2-7,14H,8-11H2,1H3,(H,19,21)";"False";"-1"
"CHEMBL400769";"";"";"Small molecule";"";"336.78";"1";"1";"4.92";"66.03";"3";"1";"0";"4";"N";"0.74";"13.43";"None";"3.99";"3.99";"3";"MOL";"-1";"24";"4";"1";"0";"336.0666";"-1.71";"NEUTRAL";"C19H13ClN2O2";"N#CCc1cccc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)c1";"UMENCAWCXPNLLJ-UHFFFAOYSA-N";"InChI=1S/C19H13ClN2O2/c20-15-6-4-14(5-7-15)17-8-9-18(24-17)19(23)22-16-3-1-2-13(12-16)10-11-21/h1-9,12H,10H2,(H,22,23)";"False";"-1"
"CHEMBL1278224";"";"";"Small molecule";"";"387.36";"4";"4";"4.28";"64.11";"4";"1";"0";"5";"N";"0.71";"13.88";"None";"4.70";"4.70";"3";"MOL";"-1";"28";"5";"1";"0";"387.1195";"-1.51";"NEUTRAL";"C20H16F3N3O2";"Cc1ccccc1CNC(=O)c1cncc(-c2ccc(OC(F)(F)F)cc2)n1";"FPNJKKHDVWOLJA-UHFFFAOYSA-N";"InChI=1S/C20H16F3N3O2/c1-13-4-2-3-5-15(13)10-25-19(27)18-12-24-11-17(26-18)14-6-8-16(9-7-14)28-20(21,22)23/h2-9,11-12H,10H2,1H3,(H,25,27)";"False";"-1"
"CHEMBL1270899";"";"";"Small molecule";"";"376.33";"4";"5";"5.11";"64.36";"4";"1";"1";"4";"N";"0.69";"13.74";"None";"5.88";"5.88";"3";"MOL";"-1";"27";"5";"1";"1";"376.1035";"-1.55";"NEUTRAL";"C19H15F3N2O3";"Cc1cc(C)cc(NC(=O)c2coc(-c3ccc(OC(F)(F)F)cc3)n2)c1";"KCCVSMYYGNCIPX-UHFFFAOYSA-N";"InChI=1S/C19H15F3N2O3/c1-11-7-12(2)9-14(8-11)23-17(25)16-10-26-18(24-16)13-3-5-15(6-4-13)27-19(20,21)22/h3-10H,1-2H3,(H,23,25)";"False";"-1"
"CHEMBL1278138";"";"";"Small molecule";"";"328.38";"5";"5";"3.25";"78.67";"4";"1";"0";"4";"N";"0.80";"13.88";"None";"3.13";"3.13";"3";"MOL";"-1";"25";"5";"1";"0";"328.1324";"-1.74";"NEUTRAL";"C20H16N4O";"Cc1ccccc1CNC(=O)c1cncc(-c2ccc(C#N)cc2)n1";"VYANEYBOMGSJQI-UHFFFAOYSA-N";"InChI=1S/C20H16N4O/c1-14-4-2-3-5-17(14)11-23-20(25)19-13-22-12-18(24-19)16-8-6-15(10-21)7-9-16/h2-9,12-13H,11H2,1H3,(H,23,25)";"False";"-1"
"CHEMBL1270998";"";"";"Small molecule";"";"377.32";"4";"5";"4.50";"77.25";"5";"1";"0";"4";"N";"0.72";"12.88";"None";"6.18";"6.18";"3";"MOL";"-1";"27";"6";"1";"0";"377.0987";"-1.86";"NEUTRAL";"C18H14F3N3O3";"Cc1cc(C)cc(NC(=O)c2nc(-c3ccc(OC(F)(F)F)cc3)no2)c1";"MVGGMGIREUKECP-UHFFFAOYSA-N";"InChI=1S/C18H14F3N3O3/c1-10-7-11(2)9-13(8-10)22-16(25)17-23-15(24-27-17)12-3-5-14(6-4-12)26-18(19,20)21/h3-9H,1-2H3,(H,22,25)";"False";"-1"
"CHEMBL1270898";"";"";"Small molecule";"";"376.33";"4";"5";"5.11";"64.36";"4";"1";"1";"4";"N";"0.69";"13.70";"None";"5.41";"5.41";"3";"MOL";"-1";"27";"5";"1";"1";"376.1035";"-1.39";"NEUTRAL";"C19H15F3N2O3";"Cc1cc(C)cc(NC(=O)c2cnc(-c3ccc(OC(F)(F)F)cc3)o2)c1";"YXVUTFYHKBJJGL-UHFFFAOYSA-N";"InChI=1S/C19H15F3N2O3/c1-11-7-12(2)9-14(8-11)24-17(25)16-10-23-18(26-16)13-3-5-15(6-4-13)27-19(20,21)22/h3-10H,1-2H3,(H,24,25)";"False";"-1"
"CHEMBL519073";"";"";"Small molecule";"";"332.83";"3";"3";"3.82";"45.48";"3";"1";"0";"5";"N";"0.91";"None";"7.89";"3.15";"2.54";"2";"MOL";"-1";"23";"4";"1";"0";"332.1292";"-1.74";"NEUTRAL";"C18H21ClN2O2";"O=C(NCCN1CCCCC1)c1ccc(-c2ccc(Cl)cc2)o1";"VYOBWGZNPIKXCY-UHFFFAOYSA-N";"InChI=1S/C18H21ClN2O2/c19-15-6-4-14(5-7-15)16-8-9-17(23-16)18(22)20-10-13-21-11-2-1-3-12-21/h4-9H,1-3,10-13H2,(H,20,22)";"False";"-1"
"CHEMBL1277512";"";"";"Small molecule";"";"369.81";"6";"6";"4.07";"73.34";"5";"1";"0";"5";"N";"0.73";"13.72";"None";"3.34";"3.34";"3";"MOL";"-1";"26";"6";"1";"0";"369.0880";"-1.46";"NEUTRAL";"C19H16ClN3O3";"COc1cc(NC(=O)c2cncc(-c3ccc(Cl)cc3)n2)cc(OC)c1";"CVPCOUAWFKLXEO-UHFFFAOYSA-N";"InChI=1S/C19H16ClN3O3/c1-25-15-7-14(8-16(9-15)26-2)22-19(24)18-11-21-10-17(23-18)12-3-5-13(20)6-4-12/h3-11H,1-2H3,(H,22,24)";"False";"-1"
"CHEMBL1271205";"";"";"Small molecule";"";"386.37";"4";"5";"5.52";"51.22";"3";"1";"1";"4";"N";"0.64";"None";"None";"6.72";"6.72";"3";"MOL";"-1";"28";"4";"1";"1";"386.1242";"-1.51";"NEUTRAL";"C21H17F3N2O2";"Cc1cc(C)cc(NC(=O)c2cccc(-c3ccc(OC(F)(F)F)cc3)n2)c1";"CRWGPWWLHMHOMR-UHFFFAOYSA-N";"InChI=1S/C21H17F3N2O2/c1-13-10-14(2)12-16(11-13)25-20(27)19-5-3-4-18(26-19)15-6-8-17(9-7-15)28-21(22,23)24/h3-12H,1-2H3,(H,25,27)";"False";"-1"
